DNI,Nombre,Age,Gender,Air Pollution,Alcohol use,Dust Allergy,OccuPational Hazards,Genetic Risk,chronic Lung Disease,Balanced Diet,Obesity,Smoking,Passive Smoker,Chest Pain,Coughing of Blood,Fatigue,Weight Loss,Shortness of Breath,Wheezing,Swallowing Difficulty,Clubbing of Finger Nails,Frequent Cold,Dry Cough,Snoring,Level
76423388,Pedro Fernandez,23,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
76550634,Sofia Martinez,17,2,1,2,3,4,4,3,2,1,3,2,1,2,1,3,3,2,1,3,2,1,1,Low
74304572,Carlos Diaz,27,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,1,5,Medium
72234489,Sofia Rodriguez,48,1,4,2,3,2,1,2,3,2,1,5,1,4,2,6,1,2,4,2,1,2,3,Low
79958614,Carlos Perez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1,Low
79524682,Carlos Martinez,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3,Low
77204212,Carlos Perez,27,2,3,1,4,2,3,2,3,3,2,2,4,2,2,2,3,4,1,5,2,6,2,Low
79628519,Luis Gomez,27,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,1,5,Medium
74472471,Pedro Fernandez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
74523669,Pedro Lopez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4,Low
77404852,Miguel Fernandez,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4,Low
74981505,Lucia Gomez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2,Low
71766891,Carlos Fernandez,62,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
74521373,Pedro Perez,26,1,2,3,1,4,3,2,3,4,3,1,4,3,1,2,3,4,5,1,2,3,4,Low
76019877,Ana Martinez,19,1,6,8,7,7,7,6,7,7,7,8,7,7,9,6,5,7,2,4,3,1,4,High
73344769,Ana Rodriguez,61,1,2,3,4,2,1,1,2,4,3,2,1,5,2,1,3,2,1,3,2,1,2,Low
79180351,Luis Fernandez,65,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
70103355,Pedro Martinez,24,1,2,4,5,6,5,5,4,6,5,4,6,5,5,3,2,1,4,7,2,1,6,Medium
71262752,Ana Martinez,22,2,2,1,3,4,3,5,3,2,6,1,1,2,3,2,1,3,2,4,2,1,1,Low
79784633,Pedro Lopez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2,Low
75664789,Carlos Rodriguez,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3,Low
79695979,Maria Gomez,19,1,6,8,7,7,7,6,7,7,7,8,7,7,9,6,5,7,2,4,3,1,4,High
79305648,Miguel Martinez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2,Low
75743066,Elena Diaz,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3,Low
76113790,Ana Rodriguez,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
74721339,Lucia Fernandez,42,1,2,1,2,3,4,3,2,1,1,1,6,2,1,1,1,2,1,2,3,1,2,Low
79889550,Miguel Fernandez,35,2,2,1,2,1,2,1,2,3,2,4,2,1,3,4,5,1,3,2,1,2,2,Low
73275709,Juan Perez,44,1,6,7,7,7,7,6,7,7,7,8,7,7,5,3,2,7,8,2,4,5,3,High
70084654,Miguel Lopez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3,Low
75147581,Miguel Diaz,22,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2,Medium
71954354,Miguel Lopez,55,1,3,1,1,1,2,3,4,1,3,2,4,3,2,5,2,1,2,3,4,5,2,Low
78242680,Pedro Rodriguez,45,2,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1,Low
72428388,Sofia Lopez,25,2,4,5,6,5,5,4,6,7,2,3,4,8,8,7,9,2,1,4,6,7,2,High
78916786,Miguel Rodriguez,38,2,5,2,3,1,2,3,5,2,2,5,1,3,1,1,1,1,1,3,2,4,2,Low
72663046,Luis Perez,33,1,6,7,7,7,7,7,6,7,7,7,7,7,8,5,7,6,7,8,7,6,2,High
75499720,Carlos Gomez,45,2,1,2,4,5,6,5,5,4,6,4,7,2,3,8,7,3,8,3,2,3,1,Low
76640913,Sofia Fernandez,44,1,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,5,Medium
73416664,Elena Garcia,33,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4,Medium
73385659,Sofia Perez,23,2,4,2,3,4,2,3,2,4,2,4,2,4,1,3,4,2,4,2,4,3,1,Low
