DNI,Nombre,Age,Gender,Air Pollution,Alcohol use,Dust Allergy,OccuPational Hazards,Genetic Risk,chronic Lung Disease,Balanced Diet,Obesity,Smoking,Passive Smoker,Chest Pain,Coughing of Blood,Fatigue,Weight Loss,Shortness of Breath,Wheezing,Swallowing Difficulty,Clubbing of Finger Nails,Frequent Cold,Dry Cough,Snoring
76423388,Pedro Fernandez,23,1,3,2,4,2,3,2,3,3,2,2,3,3,4,5,6,5,5,4,6,5,4
76550634,Sofia Martinez,17,2,1,2,3,4,4,3,2,1,3,2,1,2,1,3,3,2,1,3,2,1,1
74304572,Carlos Diaz,27,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,1,5
72234489,Sofia Rodriguez,48,1,4,2,3,2,1,2,3,2,1,5,1,4,2,6,1,2,4,2,1,2,3
79958614,Carlos Perez,28,1,6,7,8,7,6,7,7,2,4,3,7,8,2,3,6,4,2,3,1,2,1
79524682,Carlos Martinez,44,1,2,3,2,1,3,2,1,2,7,6,2,2,2,2,3,2,1,2,3,2,3
77204212,Carlos Perez,27,2,3,1,4,2,3,2,3,3,2,2,4,2,2,2,3,4,1,5,2,6,2
79628519,Luis Gomez,27,1,2,3,4,2,4,3,3,3,2,3,4,4,1,2,4,6,5,4,2,1,5
74472471,Pedro Fernandez,25,2,3,1,4,3,2,3,4,3,1,4,3,1,3,2,2,4,2,2,3,4,3
74523669,Pedro Lopez,33,1,2,4,5,4,3,2,2,4,3,2,2,4,3,4,2,2,3,1,2,3,4
77404852,Miguel Fernandez,35,1,1,3,2,4,2,6,2,2,2,1,3,4,4,2,2,2,3,2,1,2,4
74981505,Lucia Gomez,62,1,3,2,1,3,2,4,5,1,6,2,3,2,4,3,2,1,2,4,2,3,2
71766891,Carlos Fernandez,62,1,6,8,7,7,7,6,2,4,1,2,4,3,2,7,6,5,1,9,3,4,2
74521373,Pedro Perez,26,1,2,3,1,4,3,2,3,4,3,1,4,3,1,2,3,4,5,1,2,3,4
